Entity,Code,Year,Category,Energy Consumption
World,OWID_WRL,1800,Other renewables,0
World,OWID_WRL,1800,Modern Biofuels,0
World,OWID_WRL,1800,Solar,0
World,OWID_WRL,1800,Wind,0
World,OWID_WRL,1800,Hyrdropower,0
World,OWID_WRL,1800,Nuclear,0
World,OWID_WRL,1800,Gas,0
World,OWID_WRL,1800,Oil,0
World,OWID_WRL,1800,Coal,97
World,OWID_WRL,1800,Traditional Biomass,5556
World,OWID_WRL,1810,Other renewables,0
World,OWID_WRL,1810,Modern Biofuels,0
World,OWID_WRL,1810,Solar,0
World,OWID_WRL,1810,Wind,0
World,OWID_WRL,1810,Hyrdropower,0
World,OWID_WRL,1810,Nuclear,0
World,OWID_WRL,1810,Gas,0
World,OWID_WRL,1810,Oil,0
World,OWID_WRL,1810,Coal,128
World,OWID_WRL,1810,Traditional Biomass,5833
World,OWID_WRL,1820,Other renewables,0
World,OWID_WRL,1820,Modern Biofuels,0
World,OWID_WRL,1820,Solar,0
World,OWID_WRL,1820,Wind,0
World,OWID_WRL,1820,Hyrdropower,0
World,OWID_WRL,1820,Nuclear,0
World,OWID_WRL,1820,Gas,0
World,OWID_WRL,1820,Oil,0
World,OWID_WRL,1820,Coal,153
World,OWID_WRL,1820,Traditional Biomass,6111
World,OWID_WRL,1830,Other renewables,0
World,OWID_WRL,1830,Modern Biofuels,0
World,OWID_WRL,1830,Solar,0
World,OWID_WRL,1830,Wind,0
World,OWID_WRL,1830,Hyrdropower,0
World,OWID_WRL,1830,Nuclear,0
World,OWID_WRL,1830,Gas,0
World,OWID_WRL,1830,Oil,0
World,OWID_WRL,1830,Coal,264
World,OWID_WRL,1830,Traditional Biomass,6389
World,OWID_WRL,1840,Other renewables,0
World,OWID_WRL,1840,Modern Biofuels,0
World,OWID_WRL,1840,Solar,0
World,OWID_WRL,1840,Wind,0
World,OWID_WRL,1840,Hyrdropower,0
World,OWID_WRL,1840,Nuclear,0
World,OWID_WRL,1840,Gas,0
World,OWID_WRL,1840,Oil,0
World,OWID_WRL,1840,Coal,356
World,OWID_WRL,1840,Traditional Biomass,6944
World,OWID_WRL,1850,Other renewables,0
World,OWID_WRL,1850,Modern Biofuels,0
World,OWID_WRL,1850,Solar,0
World,OWID_WRL,1850,Wind,0
World,OWID_WRL,1850,Hyrdropower,0
World,OWID_WRL,1850,Nuclear,0
World,OWID_WRL,1850,Gas,0
World,OWID_WRL,1850,Oil,0
World,OWID_WRL,1850,Coal,569
World,OWID_WRL,1850,Traditional Biomass,7222
World,OWID_WRL,1860,Other renewables,0
World,OWID_WRL,1860,Modern Biofuels,0
World,OWID_WRL,1860,Solar,0
World,OWID_WRL,1860,Wind,0
World,OWID_WRL,1860,Hyrdropower,0
World,OWID_WRL,1860,Nuclear,0
World,OWID_WRL,1860,Gas,0
World,OWID_WRL,1860,Oil,0
World,OWID_WRL,1860,Coal,1061
World,OWID_WRL,1860,Traditional Biomass,6944
World,OWID_WRL,1870,Other renewables,0
World,OWID_WRL,1870,Modern Biofuels,0
World,OWID_WRL,1870,Solar,0
World,OWID_WRL,1870,Wind,0
World,OWID_WRL,1870,Hyrdropower,0
World,OWID_WRL,1870,Nuclear,0
World,OWID_WRL,1870,Gas,0
World,OWID_WRL,1870,Oil,6
World,OWID_WRL,1870,Coal,1642
World,OWID_WRL,1870,Traditional Biomass,6944
World,OWID_WRL,1880,Other renewables,0
World,OWID_WRL,1880,Modern Biofuels,0
World,OWID_WRL,1880,Solar,0
World,OWID_WRL,1880,Wind,0
World,OWID_WRL,1880,Hyrdropower,0
World,OWID_WRL,1880,Nuclear,0
World,OWID_WRL,1880,Gas,0
World,OWID_WRL,1880,Oil,33
World,OWID_WRL,1880,Coal,2542
World,OWID_WRL,1880,Traditional Biomass,6944
World,OWID_WRL,1890,Other renewables,0
World,OWID_WRL,1890,Modern Biofuels,0
World,OWID_WRL,1890,Solar,0
World,OWID_WRL,1890,Wind,0
World,OWID_WRL,1890,Hyrdropower,38.88889
World,OWID_WRL,1890,Nuclear,0
World,OWID_WRL,1890,Gas,33
World,OWID_WRL,1890,Oil,89
World,OWID_WRL,1890,Coal,3856
World,OWID_WRL,1890,Traditional Biomass,6667
World,OWID_WRL,1900,Other renewables,0
World,OWID_WRL,1900,Modern Biofuels,0
World,OWID_WRL,1900,Solar,0
World,OWID_WRL,1900,Wind,0
World,OWID_WRL,1900,Hyrdropower,47.22222
World,OWID_WRL,1900,Nuclear,0
World,OWID_WRL,1900,Gas,64
World,OWID_WRL,1900,Oil,181
World,OWID_WRL,1900,Coal,5728
World,OWID_WRL,1900,Traditional Biomass,6111
World,OWID_WRL,1910,Other renewables,0
World,OWID_WRL,1910,Modern Biofuels,0
World,OWID_WRL,1910,Solar,0
World,OWID_WRL,1910,Wind,0
World,OWID_WRL,1910,Hyrdropower,91.666664
World,OWID_WRL,1910,Nuclear,0
World,OWID_WRL,1910,Gas,142
World,OWID_WRL,1910,Oil,397
World,OWID_WRL,1910,Coal,8656
World,OWID_WRL,1910,Traditional Biomass,6389
World,OWID_WRL,1920,Other renewables,0
World,OWID_WRL,1920,Modern Biofuels,0
World,OWID_WRL,1920,Solar,0
World,OWID_WRL,1920,Wind,0
World,OWID_WRL,1920,Hyrdropower,177.77777
World,OWID_WRL,1920,Nuclear,0
World,OWID_WRL,1920,Gas,233
World,OWID_WRL,1920,Oil,397
World,OWID_WRL,1920,Coal,9833
World,OWID_WRL,1920,Traditional Biomass,6944
World,OWID_WRL,1930,Other renewables,0
World,OWID_WRL,1930,Modern Biofuels,0
World,OWID_WRL,1930,Solar,0
World,OWID_WRL,1930,Wind,0
World,OWID_WRL,1930,Hyrdropower,363.8889
World,OWID_WRL,1930,Nuclear,0
World,OWID_WRL,1930,Gas,603
World,OWID_WRL,1930,Oil,1756
World,OWID_WRL,1930,Coal,10125
World,OWID_WRL,1930,Traditional Biomass,7222
World,OWID_WRL,1940,Other renewables,0
World,OWID_WRL,1940,Modern Biofuels,0
World,OWID_WRL,1940,Solar,0
World,OWID_WRL,1940,Wind,0
World,OWID_WRL,1940,Hyrdropower,533.3333
World,OWID_WRL,1940,Nuclear,0
World,OWID_WRL,1940,Gas,875
World,OWID_WRL,1940,Oil,2653
World,OWID_WRL,1940,Coal,11586
World,OWID_WRL,1940,Traditional Biomass,7222
World,OWID_WRL,1950,Other renewables,0
World,OWID_WRL,1950,Modern Biofuels,0
World,OWID_WRL,1950,Solar,0
World,OWID_WRL,1950,Wind,0
World,OWID_WRL,1950,Hyrdropower,925
World,OWID_WRL,1950,Nuclear,0
World,OWID_WRL,1950,Gas,2092
World,OWID_WRL,1950,Oil,5444
World,OWID_WRL,1950,Coal,12603
World,OWID_WRL,1950,Traditional Biomass,7500
World,OWID_WRL,1960,Other renewables,0
World,OWID_WRL,1960,Modern Biofuels,0
World,OWID_WRL,1960,Solar,0
World,OWID_WRL,1960,Wind,0
World,OWID_WRL,1960,Hyrdropower,1913.8889
World,OWID_WRL,1960,Nuclear,0
World,OWID_WRL,1960,Gas,4472
World,OWID_WRL,1960,Oil,11097
World,OWID_WRL,1960,Coal,15442
World,OWID_WRL,1960,Traditional Biomass,8889
World,OWID_WRL,1965,Other renewables,55.949085
World,OWID_WRL,1965,Modern Biofuels,9.029861
World,OWID_WRL,1965,Solar,0
World,OWID_WRL,1965,Wind,0
World,OWID_WRL,1965,Hyrdropower,2729.8865
World,OWID_WRL,1965,Nuclear,72.469345
World,OWID_WRL,1965,Gas,6303.8267
