Entity,Code,Year,Energy Type,Investment
World,OWID_WRL,2004,Marine energy,0
World,OWID_WRL,2004,Small hydropower,2800000000
World,OWID_WRL,2004,Geothermal energy,1100000000
World,OWID_WRL,2004,Biofuels,3900000000
World,OWID_WRL,2004,Biomass and waste-to-energy,7900000000
World,OWID_WRL,2004,Wind energy,18899999000
World,OWID_WRL,2004,Solar energy,10700000000
World,OWID_WRL,2005,Marine energy,100000000
World,OWID_WRL,2005,Small hydropower,7400000000
World,OWID_WRL,2005,Geothermal energy,800000000
World,OWID_WRL,2005,Biofuels,9800001000
World,OWID_WRL,2005,Biomass and waste-to-energy,9300000000
World,OWID_WRL,2005,Wind energy,27300000000
World,OWID_WRL,2005,Solar energy,15300000000
World,OWID_WRL,2006,Marine energy,100000000
World,OWID_WRL,2006,Small hydropower,6800000000
World,OWID_WRL,2006,Geothermal energy,1300000000
World,OWID_WRL,2006,Biofuels,26200000000
World,OWID_WRL,2006,Biomass and waste-to-energy,12000000000
World,OWID_WRL,2006,Wind energy,36300000000
World,OWID_WRL,2006,Solar energy,21500000000
World,OWID_WRL,2007,Marine energy,700000000
World,OWID_WRL,2007,Small hydropower,6400000000
World,OWID_WRL,2007,Geothermal energy,1700000000
World,OWID_WRL,2007,Biofuels,26400000000
World,OWID_WRL,2007,Biomass and waste-to-energy,15899999000
World,OWID_WRL,2007,Wind energy,59100000000
World,OWID_WRL,2007,Solar energy,37500000000
World,OWID_WRL,2008,Marine energy,200000000
World,OWID_WRL,2008,Small hydropower,7600000000
World,OWID_WRL,2008,Geothermal energy,1700000000
World,OWID_WRL,2008,Biofuels,17600000000
World,OWID_WRL,2008,Biomass and waste-to-energy,16200001000
World,OWID_WRL,2008,Wind energy,73900000000
World,OWID_WRL,2008,Solar energy,60300000000
World,OWID_WRL,2009,Marine energy,300000000
World,OWID_WRL,2009,Small hydropower,5900000000
World,OWID_WRL,2009,Geothermal energy,2500000000
World,OWID_WRL,2009,Biofuels,9399999000
World,OWID_WRL,2009,Biomass and waste-to-energy,13399999000
World,OWID_WRL,2009,Wind energy,73300000000
World,OWID_WRL,2009,Solar energy,63400000000
World,OWID_WRL,2010,Marine energy,300000000
World,OWID_WRL,2010,Small hydropower,8200000000
World,OWID_WRL,2010,Geothermal energy,2800000000
World,OWID_WRL,2010,Biofuels,10100001000
World,OWID_WRL,2010,Biomass and waste-to-energy,17299999000
World,OWID_WRL,2010,Wind energy,98300000000
World,OWID_WRL,2010,Solar energy,1.017E+11
World,OWID_WRL,2011,Marine energy,300000000
World,OWID_WRL,2011,Small hydropower,7700000000
World,OWID_WRL,2011,Geothermal energy,3800000000
World,OWID_WRL,2011,Biofuels,10400000000
World,OWID_WRL,2011,Biomass and waste-to-energy,20900000000
World,OWID_WRL,2011,Wind energy,84700000000
World,OWID_WRL,2011,Solar energy,1.588E+11
World,OWID_WRL,2012,Marine energy,300000000
World,OWID_WRL,2012,Small hydropower,6300000000
World,OWID_WRL,2012,Geothermal energy,1700000000
World,OWID_WRL,2012,Biofuels,7700000000
World,OWID_WRL,2012,Biomass and waste-to-energy,15400000000
World,OWID_WRL,2012,Wind energy,77900005000
World,OWID_WRL,2012,Solar energy,1.429E+11
World,OWID_WRL,2013,Marine energy,200000000
World,OWID_WRL,2013,Small hydropower,5700000000
World,OWID_WRL,2013,Geothermal energy,2700000000
World,OWID_WRL,2013,Biofuels,5099999700
World,OWID_WRL,2013,Biomass and waste-to-energy,14600001000
World,OWID_WRL,2013,Wind energy,83200000000
World,OWID_WRL,2013,Solar energy,1.214E+11
World,OWID_WRL,2014,Marine energy,400000000
World,OWID_WRL,2014,Small hydropower,7400000000
World,OWID_WRL,2014,Geothermal energy,2900000000
World,OWID_WRL,2014,Biofuels,5500000000
World,OWID_WRL,2014,Biomass and waste-to-energy,12900000000
World,OWID_WRL,2014,Wind energy,1.107E+11
World,OWID_WRL,2014,Solar energy,1.48E+11
World,OWID_WRL,2015,Marine energy,200000000
World,OWID_WRL,2015,Small hydropower,4000000000
World,OWID_WRL,2015,Geothermal energy,2500000000
World,OWID_WRL,2015,Biofuels,3600000000
World,OWID_WRL,2015,Biomass and waste-to-energy,10300000000
World,OWID_WRL,2015,Wind energy,1.215E+11
World,OWID_WRL,2015,Solar energy,1.762E+11
World,OWID_WRL,2016,Marine energy,200000000
World,OWID_WRL,2016,Small hydropower,4400000000
World,OWID_WRL,2016,Geothermal energy,2700000000
World,OWID_WRL,2016,Biofuels,2099999900
World,OWID_WRL,2016,Biomass and waste-to-energy,13600000000
World,OWID_WRL,2016,Wind energy,1.249E+11
World,OWID_WRL,2016,Solar energy,1.463E+11
World,OWID_WRL,2017,Marine energy,200000000
World,OWID_WRL,2017,Small hydropower,3800000000
World,OWID_WRL,2017,Geothermal energy,2300000000
World,OWID_WRL,2017,Biofuels,3200000000
World,OWID_WRL,2017,Biomass and waste-to-energy,5700000000
World,OWID_WRL,2017,Wind energy,1.297E+11
World,OWID_WRL,2017,Solar energy,1.8E+11
World,OWID_WRL,2018,Marine energy,200000000
World,OWID_WRL,2018,Small hydropower,900000000
World,OWID_WRL,2018,Geothermal energy,2300000000
World,OWID_WRL,2018,Biofuels,3000000000
World,OWID_WRL,2018,Biomass and waste-to-energy,9300000000
World,OWID_WRL,2018,Wind energy,1.315E+11
World,OWID_WRL,2018,Solar energy,1.411E+11
