Entity,Year,Low-carbon Energy
Africa,1965,5.7402806
Africa,1966,6.1139693
Africa,1967,6.31658
Africa,1968,6.994845
Africa,1969,7.9439163
Africa,1970,9.148895
Africa,1971,8.124994
Africa,1972,8.747272
Africa,1973,8.54162
Africa,1974,9.252387
Africa,1975,9.228769
Africa,1976,9.41638
Africa,1977,9.803094
Africa,1978,9.518462
Africa,1979,9.349527
Africa,1980,8.481442
Africa,1981,7.8527517
Africa,1982,7.3734274
Africa,1983,6.456112
Africa,1984,6.677004
Africa,1985,7.2539763
Africa,1986,7.8109107
Africa,1987,6.987083
Africa,1988,7.5433784
Africa,1989,7.913025
Africa,1990,7.5056524
Africa,1991,7.9777184
Africa,1992,7.5668573
Africa,1993,7.2089205
Africa,1994,7.3139257
Africa,1995,7.4333496
Africa,1996,7.578397
Africa,1997,7.6702275
Africa,1998,7.9497943
Africa,1999,8.025167
Africa,2000,8.36206
Africa,2001,8.35347
Africa,2002,8.677111
Africa,2003,8.112006
Africa,2004,7.9625874
Africa,2005,7.8507504
Africa,2006,7.8708215
Africa,2007,7.826794
Africa,2008,7.5902
Africa,2009,7.6073847
Africa,2010,7.943531
Africa,2011,8.034728
Africa,2012,7.754654
Africa,2013,7.9908013
Africa,2014,8.274274
Africa,2015,8.123566
Africa,2016,8.038461
Africa,2017,8.404749
Africa,2018,8.626728
Africa,2019,9.043682
Africa,2020,10.004886
Africa,2021,9.9727
Africa,2022,10.105217
Central America,1971,12.948698
Central America,1972,13.250136
Central America,1973,12.61009
Central America,1974,13.194137
Central America,1975,11.947787
Central America,1976,13.184193
Central America,1977,12.341241
Central America,1978,15.349611
Central America,1979,17.265028
Central America,1980,20.214928
Central America,1981,22.399574
Central America,1982,22.183714
Central America,1983,23.578016
Central America,1984,25.592047
Central America,1985,26.786247
Central America,1986,29.564842
Central America,1987,28.886547
Central America,1988,30.695482
Central America,1989,31.725052
Central America,1990,32.043663
Central America,1991,29.83178
Central America,1992,27.12252
Central America,1993,27.521982
Central America,1994,25.153784
Central America,1995,23.175493
Central America,1996,25.864536
Central America,1997,24.05491
Central America,1998,21.420517
Central America,1999,24.960342
Central America,2000,25.19565
Central America,2001,22.391533
Central America,2002,23.148567
Central America,2003,23.086876
Central America,2004,23.528975
Central America,2005,24.867643
Central America,2006,24.72052
Central America,2007,24.016212
Central America,2008,25.383736
Central America,2009,25.172552
Central America,2010,27.07466
Central America,2011,26.260498
Central America,2012,27.398693
Central America,2013,27.10423
Central America,2014,27.040085
Central America,2015,26.572906
Central America,2016,26.782984
Central America,2017,28.651493
Central America,2018,29.42906
Central America,2019,25.500643
Central America,2020,30.92361
Central America,2021,29.999203
Central America,2022,29.417244
Middle East,1965,1.2874662
Middle East,1966,1.3437963
Middle East,1967,1.4124042
Middle East,1968,1.4569945
Middle East,1969,1.5163674
Middle East,1970,1.4979732
Middle East,1971,1.4606107
Middle East,1972,1.6506288
Middle East,1973,1.2290988
Middle East,1974,1.4829186
Middle East,1975,1.6857252
Middle East,1976,1.7384924
Middle East,1977,1.7138828
Middle East,1978,2.2354372
Middle East,1979,1.8733047
Middle East,1980,1.9545641
Middle East,1981,1.8963492
Middle East,1982,1.785296
Middle East,1983,1.5656011
Middle East,1984,1.4065424
Middle East,1985,1.3372952
Middle East,1986,1.352589
Middle East,1987,1.5956054
Middle East,1988,1.5494919
Middle East,1989,1.2991629
Middle East,1990,1.5105473
Middle East,1991,1.0519534
Middle East,1992,1.5524191
Middle East,1993,1.698374
Middle East,1994,1.2619395
Middle East,1995,1.3795809
Middle East,1996,1.3411195
Middle East,1997,1.0872185
Middle East,1998,1.1440079
Middle East,1999,0.77251947
Middle East,2000,0.667606
Middle East,2001,0.68325627
Middle East,2002,0.9311661
Middle East,2003,0.9760433
Middle East,2004,1.1189271
Middle East,2005,1.0867089
Middle East,2006,1.2122682
Middle East,2007,1.0915848
Middle East,2008,0.52230984
Middle East,2009,0.4568013
Middle East,2010,0.60633093
Middle East,2011,0.61766416
Middle East,2012,0.7369983
Middle East,2013,0.862055
Middle East,2014,0.7398971
Middle East,2015,0.6249005
Middle East,2016,0.804998
Middle East,2017,0.8456083
Middle East,2018,0.7054737
Middle East,2019,1.5020027
Middle East,2020,1.4262588
Middle East,2021,1.4078555
Middle East,2022,1.5657593
Pacific,1965,8.907815
Pacific,1966,8.558205
Pacific,1967,7.6961136
Pacific,1968,7.875905
Pacific,1969,7.20464
